"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
6,8,17,19,,0,0,0
20,12,13,,26,2,,
7,20,15,,19,1,0,0
21,21,31,26,,3,,
16,10,1,24,,3,0,
22,19,11,,27,0,,
17,18,14,,24,0,,
23,16,3,27,,3,,
18,30,23,25,,1,,
26,21,12,,29,1,,
19,17,15,,25,0,,
27,16,11,29,,1,,
24,10,14,28,,0,,
29,11,12,,31,3,,
8,29,13,,20,0,0,0
25,23,15,,28,3,,
9,12,5,20,,3,0,0
1,25,1,,16,0,0,0
10,31,9,,21,2,0,0
2,6,18,17,,0,0,0
28,14,23,31,,1,,
11,21,26,21,,3,0,0
3,4,14,,17,0,0,0
12,24,11,,22,0,0,0
4,28,30,18,,1,0,0
13,2,19,22,,0,0,0
5,22,23,,18,1,0,0
15,16,7,23,,3,0,0
14,27,3,,23,0,0,0
31,23,11,,,0,0,0
30,14,12,,,3,0,0
