"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
17,14,16,22,,3,,
13,6,19,,20,3,,0
18,3,11,,23,0,,
14,12,25,21,,1,,
19,21,23,23,,3,0,
15,22,15,,21,3,,0
22,14,5,,25,1,,
20,24,6,24,,1,,
23,21,11,25,,3,,
21,25,22,,24,0,,
25,21,5,,27,3,,
24,6,22,27,,2,,
1,13,8,,12,3,0,0
6,27,18,16,,3,0,0
2,6,1,13,,3,0,0
7,26,16,,17,0,0,0
26,22,5,,,0,0,0
27,6,21,,,0,0,0
8,14,2,17,,4,0,1
3,17,12,14,,0,0,0
9,10,11,,18,0,0,0
10,20,3,18,,0,0,0
4,9,25,,14,0,0,0
11,23,7,,19,3,0,0
5,4,22,15,,0,0,0
16,27,5,,22,1,,0
12,24,13,20,,3,0,
