"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
24,12,8,27,,1,,
10,10,27,18,,1,0,0
11,24,22,,19,1,0,0
1,2,11,,12,0,0,0
2,6,18,13,,1,0,0
3,25,4,14,,1,0,0
4,17,5,,14,1,0,0
16,9,19,,22,0,,0
17,13,26,22,,1,,
18,10,14,,23,0,,
19,20,24,23,,1,0,
5,23,21,15,,1,0,0
12,12,11,20,,1,0,
22,13,19,,25,1,,
13,6,16,,20,1,,0
14,25,17,21,,0,,
15,23,8,,21,0,,0
6,9,7,16,,2,0,1
7,26,1,,17,1,0,0
20,12,6,24,,1,,
21,17,8,,24,0,,
8,15,13,17,,0,0,0
9,14,3,,18,1,0,0
23,20,14,25,,1,,
25,20,13,,27,1,,
27,12,20,,,1,0,0
26,8,13,,,1,0,0
