"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
12,24,20,19,,0,,
13,7,11,,19,3,,0
16,12,17,,21,0,,0
17,1,6,21,,0,0,
18,16,4,22,,3,,
20,9,13,,23,1,,
19,20,7,,22,0,,
21,6,17,23,,3,,
22,16,7,25,,2,,
1,3,22,,10,0,0,0
6,19,25,14,,3,0,0
2,4,21,11,,3,0,0
7,5,18,,15,0,0,0
3,24,8,12,,2,0,0
8,2,12,16,,0,0,0
4,14,20,,12,0,0,0
9,6,23,,17,3,0,0
5,7,10,13,,3,0,0
23,6,13,,25,3,,
10,16,22,18,,3,0,
11,4,15,,18,3,,0
14,19,13,,20,0,,0
15,9,18,20,,2,0,
24,7,13,,,2,0,0
25,16,6,,,0,0,0
