"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
14,16,7,,19,1,,0
15,9,22,19,,1,0,
18,14,18,,21,0,,
19,9,16,21,,1,,
21,9,18,,23,1,,
1,11,15,9,,1,0,0
2,21,10,,10,0,0,0
22,17,18,,,1,0,0
23,13,9,,,1,0,0
3,2,6,11,,0,0,0
8,17,5,16,,1,0,0
9,11,12,,16,0,,0
10,8,10,17,,0,0,
11,6,13,,17,0,,0
4,19,18,12,,0,0,0
16,17,12,20,,1,,
17,10,13,,20,0,,
5,23,4,,13,0,0,0
20,17,13,23,,0,,
6,20,16,14,,0,0,0
7,22,3,,15,1,0,0
12,18,1,,18,1,,0
13,14,4,18,,1,0,
