"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
14,11,21,,20,0,,0
19,12,18,23,,0,,
16,4,19,21,,0,,
17,15,25,,22,2,,0
20,14,21,,23,2,,
18,16,1,22,,3,0,
23,18,14,26,,2,,
21,19,10,,24,3,,
1,7,24,,11,0,0,0
2,26,2,12,,3,0,0
22,16,15,24,,3,,
6,23,20,15,,3,0,0
3,14,9,13,,3,0,0
7,13,19,,16,0,0,0
4,17,5,,13,0,0,0
8,4,3,16,,2,0,0
5,11,22,14,,3,0,0
9,6,15,17,,0,0,0
11,12,24,19,,2,0,
24,16,19,,26,1,,
12,26,18,,19,0,,0
10,1,8,,18,2,0,0
13,14,5,20,,3,,
15,23,10,,21,0,,0
26,18,19,,,3,0,0
25,14,16,,,0,0,0
