"id","group_id","round","main_score","sub1_score","sub2_score","sub3_score","sub4_score","sub5_score","elapsed_time","penalty","retire"
18,6,2,15.6,6.8,7.7,7.2,8,7.9,26.7,,0
19,13,2,14.8,7.2,7,7.6,7.1,6.5,26.89,,0
20,12,2,18.2,7.6,7.6,7.8,7.7,7.1,26.57,,0
21,14,2,18.4,7.8,7.2,8.3,7.4,8.1,26.96,,0
1,9,1,,,,,,,,,1
16,14,1,16.4,7.1,7.5,8.1,7.9,8,27.52,,0
14,3,1,14.1,7.2,7.2,5.6,6.2,6.1,26.33,,0
13,10,1,16.8,6.3,6.6,6.4,7.5,6,29.22,-1,0
15,13,1,16.8,6.7,7,7,7.2,7.6,27.29,,0
11,8,1,14,6.8,6.3,6.2,5.3,6.6,27,-2,0
12,6,1,15.7,6.7,6.9,6.9,7.7,7.2,26.6,,0
9,1,1,13.6,5.6,6.2,5.2,5.9,5.6,28.05,,0
10,11,1,16.1,7.1,7,5.6,5.8,5.4,26.84,,0
8,7,1,15.6,7.3,6.9,7.5,7.1,6.2,29.03,,0
7,15,1,15,6.3,6.5,7.3,6.9,5.8,25.59,,0
6,4,1,12.9,5.5,5.9,5.7,5.5,5.1,27.63,,0
17,12,1,16.5,7.3,7.3,8,7.8,7.9,26.58,,0
5,5,1,12.7,6.4,6.1,6.1,6,4.4,29.22,,0
3,2,1,13.4,5,6,5.8,5.6,4.5,27.65,,0
4,16,1,14.1,6,5.7,6,4.8,4.9,27.41,,0
2,17,1,14.6,6.1,5.8,6.5,5.3,4.8,27.08,,0
