id,schedule_id,order_id,game_id
1,1,1,1
2,1,2,2
3,1,3,3
4,1,4,8
5,1,5,9
6,1,6,10
7,1,7,11
8,1,8,16
9,1,9,17
10,1,10,20
11,2,1,1
12,2,2,2
13,2,3,3
14,2,4,4
15,2,5,9
16,2,6,10
17,2,7,11
18,2,8,12
19,2,9,17
20,2,10,18
21,2,11,21
22,3,1,1
23,3,2,2
24,3,3,6
25,3,4,7
26,3,5,8
27,3,6,9
28,3,7,14
29,3,8,15
30,3,9,18
31,4,1,1
32,4,2,2
33,4,3,3
34,4,4,4
35,4,5,5
36,4,6,11
37,4,7,12
38,4,8,13
39,4,9,14
40,4,10,19
41,4,11,20
42,4,12,23
43,5,1,1
44,5,2,2
45,5,3,3
46,5,4,4
47,5,5,5
48,6,1,1
49,6,2,2
50,6,3,3
51,7,1,35
52,8,1,23
53,9,1,24
54,10,1,21
55,11,1,26
56,12,1,1
57,12,2,4
58,12,3,7
