id,schedule_id,order_id,game_id
1,1,1,4
2,1,2,5
3,1,3,6
4,1,4,7
5,1,5,12
6,1,6,13
7,1,7,14
8,1,8,15
9,1,9,18
10,1,10,19
11,1,11,21
12,2,1,5
13,2,2,6
14,2,3,7
15,2,4,8
16,2,5,13
17,2,6,14
18,2,7,15
19,2,8,16
20,2,9,19
21,2,10,20
22,2,11,22
23,3,1,3
24,3,2,4
25,3,3,5
26,3,4,10
27,3,5,11
28,3,6,12
29,3,7,13
30,3,8,16
31,3,9,17
32,3,10,19
33,4,1,6
34,4,2,7
35,4,3,8
36,4,4,9
37,4,5,10
38,4,6,15
39,4,7,16
40,4,8,17
41,4,9,18
42,4,10,21
43,4,11,22
44,4,12,24
45,5,1,1
46,5,2,2
47,5,3,3
48,5,4,4
49,5,5,5
50,5,6,6
51,6,1,34
52,7,1,22
53,8,1,23
54,9,1,20
55,10,1,25
56,11,1,2
57,11,2,5
58,11,3,8
