id,schedule_id,order_id,game_id
1,1,1,1
2,1,2,2
3,1,3,3
4,1,4,4
5,1,5,9
6,1,6,10
7,1,7,13
8,2,1,18
9,2,2,19
10,2,3,20
11,2,4,21
12,2,5,22
13,2,6,23
14,2,7,24
15,2,8,25
16,2,9,42
17,2,10,43
18,2,11,44
19,2,12,45
20,2,13,54
21,2,14,55
22,2,15,60
23,2,16,63
24,3,1,1
25,3,2,2
26,3,3,3
27,3,4,4
28,3,5,5
29,3,6,6
30,3,7,7
31,3,8,8
32,3,9,9
33,3,10,18
34,3,11,19
35,3,12,20
36,3,13,21
37,3,14,26
38,3,15,27
39,3,16,30
40,4,1,1
41,4,2,2
42,4,3,3
43,4,4,4
44,4,5,5
45,4,6,6
46,4,7,7
47,4,8,15
48,4,9,16
49,4,10,17
50,4,11,18
51,4,12,23
52,4,13,24
53,4,14,27
54,5,1,1
55,5,2,2
56,5,3,3
57,5,4,4
58,5,5,5
59,5,6,12
60,5,7,13
61,5,8,14
62,5,9,15
63,5,10,20
64,5,11,21
65,5,12,24
66,6,1,2
67,7,1,31
68,8,1,32
69,9,1,29
70,10,1,39
