id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,1,32,17,,,,
2,17,16,,17,,,
3,9,24,18,,,,
4,25,8,,18,,,
5,5,28,19,,,,
6,21,12,,19,,,
7,13,20,20,,,,
8,29,4,,20,,,
9,30,3,,21,,,
10,14,19,21,,,,
11,22,11,,22,,,
12,6,27,22,,,,
13,26,7,,23,,,
14,10,23,23,,,,
15,18,15,,24,,,
16,2,31,24,,,,
17,,,25,,,,
18,,,,25,,,
19,,,26,,,,
20,,,,26,,,
21,,,,27,,,
22,,,27,,,,
23,,,,28,,,
24,,,28,,,,
25,,,29,,,,
26,,,,29,,,
27,,,,30,,,
28,,,30,,,,
29,,,32,,,,
30,,,,32,,,
31,,,,,,,
32,,,,,,,
