id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,65,64,,2,,,
2,1,,34,,,,
3,33,32,,34,,,
4,17,48,35,,,,
5,49,16,,35,,,
6,9,56,36,,,,
7,41,24,,36,,,
8,25,40,37,,,,
9,57,8,,37,,,
10,5,60,38,,,,
11,37,28,,38,,,
12,21,44,39,,,,
13,53,12,,39,,,
14,13,52,40,,,,
15,45,20,,40,,,
16,29,36,41,,,,
17,61,4,,41,,,
18,62,3,,42,,,
19,30,35,42,,,,
20,46,19,,43,,,
21,14,51,43,,,,
22,54,11,,44,,,
23,22,43,44,,,,
24,38,27,,45,,,
25,6,59,45,,,,
26,58,7,,46,,,
27,26,39,46,,,,
28,42,23,,47,,,
29,10,55,47,,,,
30,50,15,,48,,,
31,18,47,48,,,,
32,34,31,,49,,,
33,2,63,49,,,,
34,,,50,,,,
35,,,,50,,,
36,,,51,,,,
37,,,,51,,,
38,,,52,,,,
39,,,,52,,,
40,,,53,,,,
41,,,,53,,,
42,,,,54,,,
43,,,54,,,,
44,,,,55,,,
45,,,55,,,,
46,,,,56,,,
47,,,56,,,,
48,,,,57,,,
49,,,57,,,,
50,,,58,,,,
51,,,,58,,,
52,,,59,,,,
53,,,,59,,,
54,,,,60,,,
55,,,60,,,,
56,,,,61,,,
57,,,61,,,,
58,,,62,,,,
59,,,,62,,,
60,,,,63,,,
61,,,63,,,,
62,,,65,,,,
63,,,,65,,,
64,,,,,,,
65,,,,,,,
