id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,33,32,,2,,,
2,1,,18,,,,
3,17,16,,18,,,
4,9,24,19,,,,
5,25,8,,19,,,
6,5,28,20,,,,
7,21,12,,20,,,
8,13,20,21,,,,
9,29,4,,21,,,
10,30,3,,22,,,
11,14,19,22,,,,
12,22,11,,23,,,
13,6,27,23,,,,
14,26,7,,24,,,
15,10,23,24,,,,
16,18,15,,25,,,
17,2,31,25,,,,
18,,,26,,,,
19,,,,26,,,
20,,,27,,,,
21,,,,27,,,
22,,,,28,,,
23,,,28,,,,
24,,,,29,,,
25,,,29,,,,
26,,,30,,,,
27,,,,30,,,
28,,,,31,,,
29,,,31,,,,
30,,,33,,,,
31,,,,33,,,
32,,,,,,,
33,,,,,,,
