id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,17,16,,15,,,
2,9,24,16,,,,
3,25,8,,16,,,
4,5,28,17,,,,
5,21,12,,17,,,
6,13,20,18,,,,
7,29,4,,18,,,
8,30,3,,19,,,
9,14,19,19,,,,
10,22,11,,20,,,
11,6,27,20,,,,
12,26,7,,21,,,
13,10,23,21,,,,
14,18,15,,22,,,
15,1,,23,,,,
16,,,,23,,,
17,,,24,,,,
18,,,,24,,,
19,,,,25,,,
20,,,25,,,,
21,,,,26,,,
22,2,,26,,,,
23,,,27,,,,
24,,,,27,,,
25,,,,28,,,
26,,,28,,,,
27,,,30,,,,
28,,,,30,,,
29,,,,,,,
30,,,,,,,
