id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,33,32,,9,,,
2,25,40,12,,,,
3,37,28,,13,,,
4,29,36,16,,,,
5,30,35,17,,,,
6,38,27,,20,,,
7,26,39,21,,,,
8,34,31,,24,,,
9,1,,25,,,,
10,17,16,,25,,,
11,9,24,26,,,,
12,,8,,26,,,
13,5,,27,,,,
14,21,12,,27,,,
15,13,20,28,,,,
16,,4,,28,,,
17,,3,,29,,,
18,14,19,29,,,,
19,22,11,,30,,,
20,6,,30,,,,
21,,7,,31,,,
22,10,23,31,,,,
23,18,15,,32,,,
24,2,,32,,,,
25,,,33,,,,
26,,,,33,,,
27,,,34,,,,
28,,,,34,,,
29,,,,35,,,
30,,,35,,,,
31,,,,36,,,
32,,,36,,,,
33,,,37,,,,
34,,,,37,,,
35,,,,38,,,
36,,,38,,,,
37,,,40,,,,
38,,,,40,,,
39,,,,,,,
40,,,,,,,
