"id","schedule_id","order_id","game_id"
1,1,1,9
2,1,2,10
5,1,5,13
6,1,6,14
7,1,7,15
8,1,8,16
9,1,9,21
10,1,10,22
11,1,11,23
12,1,12,24
13,1,13,27
14,1,14,28
15,1,15,30
16,2,1,10
17,2,2,11
18,2,3,12
19,2,4,13
20,2,5,14
21,2,6,15
22,2,7,16
23,2,8,17
24,2,9,38
25,2,10,39
26,2,11,40
27,2,12,41
28,2,13,52
29,2,14,53
30,2,15,59
31,3,1,10
32,3,2,11
33,3,3,12
34,3,4,13
35,3,5,14
36,3,6,15
37,3,7,16
38,3,8,17
39,3,9,22
40,3,10,23
41,3,11,24
42,3,12,25
43,3,13,28
44,3,14,29
45,3,15,31
46,4,1,5
47,4,2,6
48,4,3,7
49,4,4,8
50,4,5,11
51,4,6,12
52,4,7,14
53,5,1,5
54,5,2,6
55,5,3,7
56,5,4,8
57,5,5,17
58,5,6,18
59,5,7,19
60,5,8,20
61,5,9,21
62,5,10,22
63,5,11,23
64,5,12,24
65,5,13,29
66,5,14,30
67,5,15,31
68,5,16,32
69,5,17,35
70,5,18,36
71,5,19,38
72,6,1,3
73,6,2,6
74,7,1,64
75,8,1,16
76,9,1,33
77,10,1,16
78,11,1,27
79,12,1,7
3,1,3,11
4,1,4,12
