"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
19,5,,26,,4,,
20,13,4,,26,0,,
21,19,3,,27,0,,
25,1,8,29,,3,,
22,6,22,27,,2,,
26,5,4,,29,0,,
23,23,26,,28,3,,
29,1,4,32,,1,,
24,2,15,28,,3,,
27,6,3,,30,1,,
28,2,23,30,,3,,
30,2,3,,32,3,,
1,1,32,17,,3,0,0
2,17,16,,17,-1,1,0
9,30,3,,21,0,0,0
10,14,19,21,,-1,1,0
3,9,24,18,,0,0,0
31,1,3,,,3,0,0
4,25,8,,18,-1,1,0
32,4,2,,,0,0,0
5,5,28,19,,4,0,1
11,22,11,,22,2,0,0
6,21,12,,19,-2,1,1
7,13,20,20,,3,0,0
8,29,4,,20,-1,1,0
12,6,27,22,,3,0,0
13,26,7,,23,4,0,1
17,1,16,25,,3,,
14,10,23,23,,1,0,0
15,18,15,,24,-1,1,0
16,2,31,24,,4,0,1
18,24,8,,25,0,,
