"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
7,21,12,,20,3,0,0
22,14,3,,28,0,,
8,13,20,21,,2,0,0
9,29,4,,21,0,0,0
23,6,11,28,,3,,
18,1,16,26,,3,,
24,10,7,,29,2,,
19,9,8,,26,3,,
25,2,15,29,,3,,
28,6,3,,31,0,,
20,,21,27,,-1,,
21,13,4,,27,0,,
1,33,32,,2,-2,1,1
2,1,,18,,4,0,
26,1,9,30,,2,,
10,30,3,,22,0,0,0
11,14,19,22,,3,0,0
12,22,11,,23,-1,1,0
29,2,10,31,,3,,
3,17,16,,18,0,0,0
13,6,27,23,,3,0,0
4,9,24,19,,3,0,0
14,26,7,,24,1,0,0
27,21,4,,30,1,,
31,2,3,,33,0,,
5,25,8,,19,0,0,0
6,5,28,20,,-2,1,1
15,10,23,24,,2,0,0
16,18,15,,25,-1,1,0
30,1,4,33,,3,,
17,2,31,25,,4,0,1
32,4,2,,,1,0,0
33,1,3,,,0,0,0
