"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
27,26,39,46,,3,0,0
56,23,7,,61,0,,
19,30,35,42,,0,0,0
62,24,5,65,,0,,
28,42,23,,47,0,0,0
9,57,8,,37,0,0,0
20,46,19,,43,3,0,0
54,46,35,,60,0,,
13,53,12,,39,3,0,0
57,34,18,61,,1,,
1,65,64,,2,1,0,0
55,6,43,60,,2,,
29,10,55,47,,3,0,0
34,1,33,50,,0,,
21,14,51,43,,2,0,0
30,50,15,,48,2,0,0
14,13,52,40,,3,0,0
22,54,11,,44,0,0,0
65,5,7,,,3,0,0
15,45,20,,40,-1,1,0
64,24,35,,,1,0,0
35,17,16,,50,0,,
61,18,7,63,,0,,
60,6,35,,63,0,,
2,1,64,34,,3,0,
16,29,36,41,,0,0,0
31,18,47,48,,2,0,0
23,22,43,44,,0,0,0
3,33,32,,34,3,0,0
17,61,4,,41,2,0,0
38,5,28,52,,3,,
32,34,31,,49,3,0,0
24,38,27,,45,2,0,0
4,17,48,35,,3,0,0
33,2,63,49,,3,0,0
63,7,35,,65,2,,
26,58,7,,46,0,0,0
18,62,3,,42,3,0,0
25,6,59,45,,3,0,0
39,44,53,,52,1,,
5,49,16,,35,0,0,0
46,26,7,,56,0,,
42,35,62,,54,2,,
10,5,60,38,,3,0,0
6,9,56,36,,0,0,0
40,13,20,53,,3,,
43,14,46,54,,1,,
47,10,23,56,,1,,
11,37,28,,38,0,0,0
7,41,24,,36,0,0,0
48,18,50,,57,2,,
44,43,11,,55,2,,
8,25,40,37,,2,0,0
12,21,44,39,,0,0,0
49,2,34,57,,1,,
45,6,38,55,,3,,
41,36,61,,53,3,,
52,5,53,59,,3,,
53,13,36,,59,2,,
59,5,13,,62,3,,
36,56,24,51,,0,,
37,25,8,,51,1,,
50,33,16,58,,0,,
51,24,8,,58,3,,
58,16,24,62,,0,,
