"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
24,10,7,,29,2,,
2,1,33,18,,3,0,
6,5,28,20,,-1,1,0
25,31,15,29,,1,,
7,21,12,,20,1,0,0
28,6,14,,31,2,,
8,13,20,21,,0,0,0
9,29,4,,21,-1,1,0
29,15,10,31,,0,,
18,1,17,26,,3,,
31,10,6,,33,1,,
19,9,8,,26,2,,
20,28,12,27,,0,,
10,30,3,,22,-2,1,1
11,14,19,22,,3,0,0
21,20,4,,27,1,,
12,22,11,,23,-1,1,0
13,6,27,23,,3,0,0
26,1,9,30,,3,,
14,26,7,,24,1,0,0
15,10,23,24,,4,0,1
1,33,32,,2,2,0,0
3,17,16,,18,4,0,1
16,18,15,,25,1,0,0
27,12,4,,30,2,,
17,2,31,25,,-1,1,0
22,14,,,28,4,,
4,9,24,19,,3,0,0
30,1,12,33,,2,,
23,6,11,28,,3,,
5,25,8,,19,0,0,0
32,12,10,,,3,0,0
33,1,6,,,3,0,0
