"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
22,2,18,26,,0,0,
5,21,12,,17,1,0,0
6,13,20,18,,-1,1,0
7,29,4,,18,-1,1,0
25,22,3,,28,0,,
15,1,16,23,,1,0,
8,30,3,,19,-1,1,0
26,18,23,28,,1,,
9,14,19,19,,2,0,1
10,22,11,,20,2,0,1
28,18,3,,30,0,,
11,6,27,20,,-1,1,0
12,26,7,,21,0,0,0
13,10,23,21,,0,0,0
16,9,8,,23,1,,
17,28,21,24,,1,,
18,20,4,,24,1,,
23,1,9,27,,0,,
24,28,20,,27,0,,
27,9,20,30,,1,,
14,18,15,,22,1,0,0
19,14,3,,25,0,,
20,27,22,25,,0,,
1,17,16,,15,-1,1,0
21,23,7,,26,1,,
2,9,24,16,,1,0,0
3,25,8,,16,-1,1,0
4,5,28,17,,-1,1,0
30,9,3,,,0,0,0
29,20,18,,,0,0,0
