"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
18,14,19,29,,1,0,0
39,1,7,,,1,0,0
40,5,3,,,1,0,0
19,22,11,,30,2,0,1
20,6,,30,,2,0,
21,39,7,,31,0,,0
12,25,8,,26,0,,0
22,10,23,31,,0,0,0
13,5,28,27,,1,0,
23,18,15,,32,0,0,0
14,21,12,,27,1,0,0
24,2,34,32,,1,0,
15,13,20,28,,0,0,0
29,14,3,,35,0,,
16,29,4,,28,0,,0
30,6,22,35,,1,,
1,33,32,,9,-1,1,0
25,1,16,33,,1,,
2,25,40,12,,1,0,0
3,37,28,,13,-1,1,0
5,30,35,17,,1,0,0
6,38,27,,20,-2,1,1
4,29,36,16,,1,0,0
7,26,39,21,,0,0,0
8,34,31,,24,2,0,1
9,1,32,25,,1,0,
26,,8,,33,-1,,
17,30,3,,29,0,,0
10,17,16,,25,0,0,0
11,9,24,26,,-2,1,1
31,23,7,,36,0,,
27,5,21,34,,1,,
32,2,15,36,,1,,
28,20,4,,34,0,,
33,1,8,37,,1,,
35,6,3,,38,0,,
34,5,4,,37,1,,
37,1,5,40,,0,,
36,2,7,38,,0,,
38,7,3,,40,0,,
