"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
13,9,8,,20,0,,
18,10,7,,23,1,,
19,2,15,23,,1,0,
14,5,12,21,,1,0,
15,20,4,,21,0,,0
22,6,3,,25,0,,
20,1,8,24,,1,,
23,2,10,25,,0,,
21,5,4,,24,0,,
25,10,3,,27,0,,
24,1,4,27,,1,,
1,17,16,,12,1,0,0
2,9,24,13,,2,0,1
6,14,19,16,,0,0,0
26,4,10,,,0,0,0
3,25,8,,13,0,0,0
7,22,11,,17,0,0,0
27,1,3,,,1,0,0
8,6,27,17,,2,0,1
9,26,7,,18,0,0,0
10,10,23,18,,2,0,1
4,21,12,,14,0,0,0
11,18,15,,19,0,0,0
5,13,20,15,,0,0,0
16,19,3,,22,0,,0
12,1,17,20,,1,0,
17,6,11,22,,1,,
